customer_id,segment,region,first_order_date
CUST-10765,Hydration & Glow,Scotland,2026-06-05
CUST-10091,Acne & Blemish,North West,2025-02-25
CUST-10056,,Other UK,2025-02-08
CUST-10370,Hydration & Glow,North West,2025-08-20
CUST-10144,Hydration & Glow,South East,2025-03-29
CUST-10483,Anti-Ageing,South East,2025-11-17
CUST-10099,Acne & Blemish,North West,2025-03-01
CUST-10777,Sensitive Skin,Scotland,2026-06-13
CUST-10046,Acne & Blemish,South East,2025-02-03
CUST-10261,Acne & Blemish,London,2025-05-31
CUST-10454,Anti-Ageing,London,2025-10-29
CUST-10222,Acne & Blemish,London,2025-05-11
CUST-10171,Hydration & Glow,Other UK,2025-04-13
CUST-10041,Acne & Blemish,Other UK,2025-01-31
CUST-10129,Acne & Blemish,London,2025-03-21
CUST-10432,Anti-Ageing,North West,2025-10-09
CUST-10798,Acne & Blemish,London,2026-06-25
CUST-10211,Anti-Ageing,South East,2025-05-03
CUST-10426,Acne & Blemish,South East,2025-10-02
CUST-10716,Acne & Blemish,Other UK,2026-05-08
CUST-10621,Sensitive Skin,North West,2026-03-06
CUST-10269,Acne & Blemish,Other UK,2025-06-04
CUST-10393,Acne & Blemish,South East,2025-09-08
CUST-10412,Sensitive Skin,London,2025-09-23
CUST-10031,Anti-Ageing,Scotland,2025-01-19
CUST-10655,Hydration & Glow,North West,2026-03-26
CUST-10796,Sensitive Skin,London,2026-06-24
CUST-10017,Sensitive Skin,London,2025-01-10
CUST-10098,Anti-Ageing,North West,2025-02-28
CUST-10048,Anti-Ageing,Other UK,2025-02-04
CUST-10160,Anti-Ageing,Scotland,2025-04-09
CUST-10153,Acne & Blemish,North West,2025-04-05
CUST-10142,Anti-Ageing,London,2025-03-29
CUST-10612,Anti-Ageing,Scotland,2026-03-02
CUST-10753,Anti-Ageing,London,2026-05-31
CUST-10616,Anti-Ageing,London,2026-03-04
CUST-10564,Hydration & Glow,London,2026-01-10
CUST-10309,Acne & Blemish,Other UK,2025-06-29
CUST-10385,Acne & Blemish,Scotland,2025-09-01
CUST-10680,Hydration & Glow,London,2026-04-16
CUST-10177,Sensitive Skin,Other UK,2025-04-15
CUST-10702,Acne & Blemish,Scotland,2026-04-29
CUST-10278,Hydration & Glow,Other UK,2025-06-12
CUST-10045,Acne & Blemish,Other UK,2025-02-02
CUST-10407,Anti-Ageing,London,2025-09-17
CUST-10637,Hydration & Glow,London,2026-03-18
CUST-10322,Hydration & Glow,Other UK,2025-07-07
CUST-10132,Acne & Blemish,London,2025-03-22
CUST-10462,Sensitive Skin,London,2025-11-03
CUST-10543,Acne & Blemish,North West,2025-12-25
CUST-10395,Anti-Ageing,London,2025-09-10
CUST-10679,Anti-Ageing,North West,2026-04-15
CUST-10345,Acne & Blemish,North West,2025-07-29
CUST-10266,Acne & Blemish,Other UK,2025-06-02
CUST-10040,Hydration & Glow,London,2025-01-30
CUST-10078,Anti-Ageing,London,2025-02-17
CUST-10423,Sensitive Skin,London,2025-10-01
CUST-10610,Anti-Ageing,London,2026-02-27
CUST-10722,Acne & Blemish,North West,2026-05-12
CUST-10482,Sensitive Skin,Other UK,2025-11-16
CUST-10268,Sensitive Skin,Scotland,2025-06-04
CUST-10779,Sensitive Skin,London,2026-06-13
CUST-10673,Sensitive Skin,South East,2026-04-09
CUST-10324,Hydration & Glow,North West,2025-07-08
CUST-10147,Hydration & Glow,North West,2025-04-01
CUST-10117,Anti-Ageing,South East,2025-03-12
CUST-10577,Hydration & Glow,Other UK,2026-01-30
CUST-10773,Hydration & Glow,Other UK,2026-06-10
CUST-10149,Hydration & Glow,North West ,2025-04-01
CUST-10317,Sensitive Skin,Scotland,2025-07-04
CUST-10528,Sensitive Skin,Other UK,2025-12-14
CUST-10195,Hydration & Glow,South East,2025-04-28
CUST-10373,Anti-Ageing,Other UK,2025-08-23
CUST-10659,Acne & Blemish,Other UK,2026-03-29
CUST-10489,Hydration & Glow,South East,2025-11-24
CUST-10615,Hydration & Glow,South East,2026-03-02
CUST-10791,,Scotland,2026-06-22
CUST-10521,Anti-Ageing,Other UK,2025-12-08
CUST-10042,Sensitive Skin,Other UK,2025-02-01
CUST-10214,Hydration & Glow,London,2025-05-04
CUST-10258,Acne & Blemish,London,2025-05-31
CUST-10526,Hydration & Glow,South East,2025-12-12
CUST-10715,Hydration & Glow,London,2026-05-07
CUST-10747,Anti-Ageing,Scotland,2026-05-28
CUST-10580,Acne & Blemish,South East,2026-02-04
CUST-10284,Hydration & Glow,South East,2025-06-17
CUST-10446,Anti-Ageing,North West,2025-10-18
CUST-10399,,Other UK,2025-09-13
CUST-10449,Anti-Ageing,North West,2025-10-25
CUST-10590,Anti-Ageing,North West,2026-02-10
CUST-10413,Anti-Ageing,Other UK,2025-09-24
CUST-10364,Acne & Blemish,Other UK,2025-08-15
CUST-10806,Hydration & Glow,London,2026-06-29
CUST-10066,Anti-Ageing,South East,2025-02-14
