date,channel,campaign,impressions,clicks,spend
2025-02-14,Google Search,Non-Brand - Generic,455,24,12.19
2025-09-01,Google Shopping,Shopping - New Launches,458,15,£6.49
2025-06-26,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2026-01-28,Affiliate,Affiliate - Cashback Sites,77,3,0.65
2025-11-21,Meta Ads,Retargeting - Carousel,524,20,15.05
2026-04-16,Meta Ads,Prospecting - Video,749,35,32.41
2025-08-12,Google Shopping,Shopping - New Launches,268,13,5.0
2025-01-22,Meta Ads,Prospecting - Static,218,8,4.74
2025-08-01,Google Shopping,Shopping - New Launches,145,7,£3.16
2025-09-14,Google Search,Brand - Search,424,19,10.0
2026-05-29,Affiliate,Affiliate - Cashback Sites,135,5,1.12
2025-05-10,Google Shopping,Shopping - Bestsellers,384,19,7.37
2025-06-03,affiliate,Affiliate - Beauty Bloggers,29,1,0.21
2025-03-13,Meta_Ads,Retargeting - Carousel,349,16,9.66
2025-12-04,Meta Ads,Prospecting - Static,1097,55,£44.55
2025-05-14,google shopping,Shopping - New Launches,123,5,2.12
2025-12-14,Meta Ads,Prospecting - Video,718,28,£24.49
2025-11-13,Google Search,Brand - Search,496,24,£13.51
2026-06-07,Google Shopping,Shopping - Bestsellers,355,12,4.33
2026-05-22,Google_Shopping,Shopping - New Launches,146,8,£3.04
2026-04-17,GOOGLE SEARCH,Non-Brand - Competitor,339,11,£6.46
2026-01-07,Google Search,Non-Brand - Generic,294,10,5.38
2025-02-01,Google Search,Non-Brand - Generic,636,24,13.03
2025-12-20,Google Search,Non-Brand - Competitor,554,28,£14.76
2025-12-11,FB/IG Ads,Prospecting - Static,976,32,24.17
2025-12-21,google search,Non-Brand - Generic,913,33,17.66
2025-04-17,Affiliate,Affiliate - Beauty Bloggers,196,7,£1.62
2026-03-22,Google Shopping,Shopping - New Launches,182,9,3.62
2025-09-22,Google Shopping,Shopping - New Launches,292,10,4.08
2026-01-21,affiliate,Affiliate - Cashback Sites,31,1,0.23
2026-06-10,Google Search,Non-Brand - Generic,281,12,6.93
2025-12-16,Google Shopping,Shopping - Bestsellers,319,16,7.61
2025-12-09,Google  Search,Brand - Search,433,15,7.25
2025-02-03,Google Shopping,Shopping - Bestsellers,136,5,1.95
2025-07-26,Google  Search,Non-Brand - Competitor,372,12,£6.53
2025-05-01,Affiliate ,Affiliate - Cashback Sites,188,9,1.99
2026-01-05,Google Search,Non-Brand - Competitor,181,6,3.33
2025-04-18,Affiliate,Affiliate - Cashback Sites,0,0,£0.00
2025-06-24,Google Shopping,Shopping - New Launches,154,7,3.22
2025-06-22,GOOGLE SHOPPING,Shopping - Bestsellers,119,6,2.58
2025-10-02,Google_Shopping,Shopping - New Launches,155,8,£3.20
2026-06-16,Affiliate,Affiliate - Cashback Sites,90,4,0.89
2026-02-27,affiliate,Affiliate - Beauty Bloggers,90,5,1.17
2026-02-09,GOOGLE SHOPPING,Shopping - New Launches,344,12,4.79
2025-03-28,Meta Ads,Prospecting - Video,455,15,9.36
2025-05-19,Google Search,Brand - Search,194,10,5.38
2025-02-05,Google Shopping,Shopping - Bestsellers,307,11,4.82
2025-05-04,Google Search,Brand - Search,403,14,7.43
2026-06-08,google shopping,Shopping - New Launches,269,9,3.65
2025-10-02,Google_Search,Non-Brand - Competitor,372,15,8.95
2025-07-30,Meta Ads,Prospecting - Static,332,16,£10.57
2025-04-17,Google Search,Non-Brand - Generic,198,8,4.33
2026-06-17,affiliate,Affiliate - Beauty Bloggers,197,7,1.47
2025-06-07,Google Search,Non-Brand - Generic,326,16,8.04
2025-07-21,Affiliate,Affiliate - Beauty Bloggers,43,2,0.45
2025-11-04,Google_Shopping,Shopping - Bestsellers,249,8,£3.26
2025-05-30,Affiliate ,Affiliate - Beauty Bloggers,408,14,£3.09
2025-11-22,Affiliate,Affiliate - Cashback Sites,210,10,2.09
2025-06-17,Google Search,Brand - Search,133,6,3.41
2026-01-02,Meta Ads,Retargeting - Carousel,458,18,£15.61
2026-04-11,Affiliate,Affiliate - Cashback Sites,66,3,£0.71
2026-06-22,Affiliate,Affiliate - Beauty Bloggers,208,7,£1.47
