order_id,customer_id,order_date,channel,device,region,segment,product_category,quantity,gross_revenue,discount_amount,net_revenue,is_new_customer
ORD-100563,CUST-10282,2025-10-26,Google Shopping,Tablet,Scotland,Anti-Ageing,Serum,2,70.97,0.0,70.97,False
ORD-101024,CUST-10096,2026-05-28,meta ads,Mobile,North West,Anti-Ageing,Serum,1,48.95,0.0,48.95,False
ORD-100198,CUST-10035,20/04/2025,Direct,Tablet,North West,Anti-Ageing,Set/Bundle,3,81.88,8.19,73.69,False
ORD-100707,CUST-10162,2025-12-21,Google Shopping,Desktop,Scotland,Sensitive Skin  ,Moisturiser,1,43.86,6.01,37.85,False
ORD-100086,CUST-10084,2025-02-22,Google  Search,Mobile,Scotland,Anti-Ageing,SPF,2,70.1,7.01,63.09,True
ORD-101013,CUST-10743,24/05/2026,Google  Search,Desktop,London,Acne & Blemish,Cleanser,1,27.57,0.0,27.57,True
ORD-100491,CUST-10401,2025-09-14,Google Search,Desktop,London,Anti-Ageing,Serum,1,43.23,4.32,38.91,True
ORD-100505,CUST-10321,2025-09-22,Email,Desktop,South East,Sensitive Skin,Cleanser,1,30.72,0.0,30.72,False
ORD-101085,CUST-10789,21/06/2026,Google  Search,Mobile,Other UK,Anti-Ageing,Serum,1,46.1,0.0,46.1,True
ORD-100756,CUST-10094,21/01/2026,google search,Mobile,Other UK,Acne & Blemish,Moisturiser,2,43.05,0.0,43.05,False
ORD-100826,CUST-10034,2026-03-05,Affiliate,Desktop,South East,Sensitive Skin,Moisturiser,2,66.89,0.0,66.89,False
ORD-100493,CUST-10403,14/09/2025,FB/IG Ads,Mobile,North West,Anti-Ageing,Serum,2,67.26,0.0,-12.5,True
ORD-100059,CUST-10057,2025-02-09,Google Search,Mobile,London,Acne & Blemish,Set/Bundle,2,45.22,0.0,45.22,True
ORD-100057,CUST-10055,07/02/2025,Organic Search,Desktop,South East,Acne & Blemish,Mask,1,25.83,0.0,25.83,True
ORD-100205,CUST-10187,2025-04-23,Direct,Desktop,Other UK,Hydration & Glow,Moisturiser,2,56.81,5.68,51.13,True
ORD-100445,CUST-10367,2025-08-18,Affiliate,Mobile,London,Hydration & Glow,Mask,2,52.8,0.0,52.8,True
ORD-100936,CUST-10029,24/04/2026,Google Shopping,Mobile,London,Acne & Blemish,SPF,3,56.25,0.0,56.25,False
ORD-100692,CUST-10528,14/12/2025,Direct,Mobile,Other UK,Sensitive Skin,Serum,2,59.56,7.34,52.22,True
ORD-100838,CUST-10628,2026-03-12,Google Search,Desktop,London,Anti-Ageing,Cleanser,1,52.22,0.0,52.22,True
ORD-100429,CUST-10356,2025-08-08,Organic Search,Tablet,Scotland,Hydration & Glow,Moisturiser,1,27.29,2.73,24.56,True
ORD-100130,CUST-10126,2025-03-18,Email,Mobile,North West,Acne & Blemish,Cleanser,1,26.63,2.66,23.97,True
ORD-100335,CUST-10286,2025-06-17,direct,Mobile,Other UK,Acne & Blemish,Cleanser,1,25.24,0.0,25.24,True
