date,channel,device,sessions,add_to_cart,begin_checkout,purchases
2026-02-20,Google Search,Mobile,5,0,0,0
2025-02-20,Affiliate,Mobile,3,0,0,0
2025-05-31,Google Search,Tablet,1,0,0,0
2025-03-29,Direct,Mobile,2,0,0,0
2025-06-19,Direct,Mobile,10,0,0,0
2025-08-18,Email,Mobile,3,0,0,0
2025-04-28,Organic Search,Desktop,4,1,1,1
2026-06-29,Google Shopping,Tablet,1,0,0,0
2026-01-27,Google Shopping,Desktop,3,0,0,0
2025-06-17,Facebook/Instagram Ads,Mobile,8,0,0,0
2026-04-17,Direct,Tablet,0,0,0,0
2025-06-28,Affiliate,Desktop,0,0,0,0
2025-12-17,email,Mobile,5,0,0,0
2025-10-02,Direct,Mobile,4,2,1,0
2025-08-23,Email,Desktop,0,0,0,0
2025-11-15,Google_Shopping,Tablet,1,0,0,0
2026-01-04,Organic Search,Mobile,6,1,0,0
2026-01-17,Google Search,Tablet,0,0,0,0
2025-12-09,Meta Ads,Tablet,0,0,0,0
2026-06-10,GOOGLE SEARCH,Desktop,4,1,0,0
2025-04-23,Affiliate,Tablet,1,0,0,0
2025-07-10,Direct,Desktop,0,0,0,0
2026-02-22,Meta Ads,Mobile,9,0,0,0
2025-04-21,Google Search,Mobile,11,0,0,0
2026-06-22,Meta Ads,Tablet,7,0,0,0
2026-03-27,GOOGLE SEARCH,Tablet,1,0,0,0
2025-10-21,Organic Search,Mobile,7,0,0,0
2025-03-16,Google Search,Mobile,10,2,0,0
2025-03-20,direct,Mobile,4,0,0,0
2026-04-05,Google Shopping,Mobile,3,0,0,0
2025-12-13,Google Search,Tablet,1,0,0,0
2025-01-04,Direct,Desktop,1,1,1,1
2026-01-11,google shopping,Mobile,6,0,0,0
2026-02-21,Affiliate,Tablet,0,0,0,0
2025-10-26,Google  Search,Tablet,1,0,0,0
2025-08-07,Direct,Mobile,0,0,0,0
2025-12-15,Google Search,Desktop,4,0,0,0
2025-02-02,Affiliate,Tablet,0,0,0,0
2025-10-18,Affiliate,Mobile,3,0,0,0
2025-05-31,direct,Mobile,5,3,1,0
2026-06-25,Affiliate,Desktop,1,0,0,0
2025-08-15,Google Shopping,Desktop,3,0,0,0
2025-04-06,EMAIL,Desktop,3,1,0,0
2025-02-03,AFFILIATE,Mobile,0,0,0,0
2026-02-27,affiliate,Desktop,1,0,0,0
2026-01-12,Google Search,Tablet,2,0,0,0
2025-03-21,Email,Mobile,2,0,0,0
2025-12-27,Email,Mobile,2,0,0,0
2025-10-22,Email,Tablet,2,0,0,0
2026-02-01,Organic Search,Desktop,2,0,0,0
2026-05-16,Meta Ads,Mobile,27,0,0,0
2025-07-03,Organic Search,Mobile,7,1,1,0
2026-01-26,Google Search,Mobile,2,0,0,0
2026-04-24,Google Search,Tablet,0,0,0,0
2025-09-19,Email,Mobile,1,0,0,0
2025-10-01,Affiliate,Desktop,3,2,1,1
2025-01-16,Organic_Search,Tablet,2,0,0,0
2025-10-21,Affiliate,Mobile,0,0,0,0
2025-07-08,SEO,Mobile,6,2,1,0
2026-02-19,Organic Search,Desktop,7,1,1,1
2025-03-20,Organic_Search,Desktop,6,0,0,0
2025-06-06,Google Shopping,Mobile,5,0,0,0
2025-01-23,Google Shopping,Desktop,2,0,0,0
2025-01-15,Google Shopping,Mobile,4,0,0,0
2025-03-27,Affiliate,Tablet,1,0,0,0
2025-11-26,GOOGLE SEARCH,Mobile,15,3,2,0
2025-01-07,Affiliate,Desktop,0,0,0,0
2025-05-01,Google Search,Mobile,9,1,1,1
